,CustomerID,BikeBuyer,AvgMonthSpend,MiddleName,AddressLine1,AddressLine2,City,StateProvinceName,PostalCode,PhoneNumber,BirthDate,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,LastUpdated,CountryRegionName_Australia,CountryRegionName_Canada,CountryRegionName_France,CountryRegionName_Germany,CountryRegionName_United Kingdom,CountryRegionName_United States,Education_Bachelors,Education_Graduate Degree,Education_High School,Education_Partial College,Education_Partial High School
0,21173,1,50.97,C,7090 C. Mount Hood,0,Wollongong,New South Wales,2500,1 (11) 500 555-0115,13-11-1987,Clerical,1,0,1,Medium,0,1,Medium,06-03-2017,1,0,0,0,0,0,1,0,0,0,0
1,13249,1,53.11,A,3651 Willow Lake Rd,0,Shawnee,British Columbia,V9B 2C3,787-555-0136,21-07-1972,Clerical,1,0,1,Medium,1,2,Medium,06-03-2017,0,1,0,0,0,0,0,0,0,1,0
2,29350,1,54.08,A,1774 Tice Valley Blvd.,0,West Covina,California,91791,120-555-0111,09-11-1985,Clerical,0,1,0,Medium,0,0,Medium,06-03-2017,0,0,0,0,0,1,1,0,0,0,0
3,13503,1,56.93,A,2103 Baldwin Dr,0,Liverpool,England,L4 4HB,1 (11) 500 555-0167,18-10-1977,Skilled Manual,1,0,1,Medium,1,2,Low,06-03-2017,0,0,0,0,1,0,0,0,0,1,0
4,22803,1,55.41,J,Am Gallberg 234,0,Werne,Nordrhein-Westfalen,59368,1 (11) 500 555-0113,05-02-1975,Skilled Manual,1,1,1,Low,0,0,Low,06-03-2017,0,0,0,1,0,0,0,0,0,1,0
5,22092,1,49.31,A,9384 Ashmount Way,0,Tacoma,Washington,98403,639-555-0165,23-02-1975,Skilled Manual,0,0,1,Medium,2,2,Low,06-03-2017,0,0,0,0,0,1,0,0,1,0,0
6,11229,0,56.01,C,6898 Shaw Rd.,0,Redwood City,California,94063,812-555-0122,03-12-1971,Manual,1,1,1,Low,0,0,Low,06-03-2017,0,0,0,0,0,1,0,0,0,1,0
7,24179,1,49.29,R,6270 Pinecreek Way,0,Lavender Bay,New South Wales,2060,1 (11) 500 555-0113,07-03-1997,Skilled Manual,0,0,0,Low,0,0,Low,06-03-2017,1,0,0,0,0,0,0,0,0,1,0
8,12127,1,50.05,A,"8188, rue Lamarck",0,Dunkerque,Nord,59140,1 (11) 500 555-0178,14-12-1976,Clerical,0,0,1,,0,2,Medium,06-03-2017,0,0,1,0,0,0,0,0,0,1,0
9,19903,0,54.15,N,"5, rue des Bouchers",0,Metz,Moselle,57000,1 (11) 500 555-0181,04-12-1976,Manual,1,1,0,Low,0,0,Low,06-03-2017,0,0,1,0,0,0,0,0,1,0,0
10,25924,0,54.02,A,536 Beech Ct.,0,Redwood City,California,94063,609-555-0161,20-11-1998,Clerical,0,1,0,Low,0,0,Medium,06-03-2017,0,0,0,0,0,1,0,0,0,1,0
11,23033,0,58.29,J,9973 Mcnutt Ave,0,Lakewood,California,90712,668-555-0160,21-04-1981,Management,1,0,1,Medium,0,0,High,06-03-2017,0,0,0,0,0,1,1,0,0,0,0
12,20029,1,52.66,M,7787 Olive St.,0,Los Angeles,California,90012,163-555-0164,24-10-1984,Management,0,0,1,Low,1,2,High,06-03-2017,0,0,0,0,0,1,1,0,0,0,0
13,22031,0,52.5,A,7952 Quartermaster,0,Wollongong,New South Wales,2500,1 (11) 500 555-0191,12-08-1960,Professional,1,0,1,Medium,0,2,High,06-03-2017,1,0,0,0,0,0,1,0,0,0,0
14,23737,1,49.04,A,9613 Camino Royale,0,Beverly Hills,California,90210,545-555-0171,14-03-1971,Skilled Manual,0,0,1,Medium,0,2,Low,06-03-2017,0,0,0,0,0,1,0,0,0,1,0
15,17127,1,50.48,A,9442 Lacanda,0,Puyallup,Washington,98371,133-555-0124,02-06-1965,Clerical,0,1,1,Medium,1,1,Medium,06-03-2017,0,0,0,0,0,1,0,0,1,0,0
16,28130,1,51,M,1145 Paraiso Ct.,0,Langley,British Columbia,V3A 4R2,926-555-0140,02-02-1993,Skilled Manual,1,1,0,Medium,0,0,Low,06-03-2017,0,1,0,0,0,0,0,0,0,1,0
17,28455,0,58.69,E,Zollstr 68,Verkaufsabteilung,Darmstadt,Hessen,64283,1 (11) 500 555-0165,06-06-1981,Management,1,0,1,Medium,0,2,High,06-03-2017,0,0,0,1,0,0,1,0,0,0,0
18,20161,0,52.3,G,"87, rue de la Comédie",0,Orly,Val de Marne,94310,1 (11) 500 555-0118,20-06-1963,Management,1,1,1,Low,0,1,High,06-03-2017,0,0,1,0,0,0,0,0,0,1,0
19,21325,0,50.38,A,8273 Glacier Drive,0,El Cajon,California,92020,848-555-0112,10-07-1980,Clerical,0,0,1,,0,2,Medium,06-03-2017,0,0,0,0,0,1,0,0,1,0,0
20,12128,1,53.22,E,Altendorfer Straße 903,0,Berlin,Hessen,12171,1 (11) 500 555-0146,16-12-1976,Skilled Manual,0,0,1,,2,2,Low,06-03-2017,0,0,0,1,0,0,0,0,1,0,0
21,23679,0,51.88,G,7987 Seawind Dr.,0,Oak Bay,British Columbia,V8P,518-555-0167,05-11-1961,Management,1,1,1,Low,0,1,High,06-03-2017,0,1,0,0,0,0,1,0,0,0,0
22,26799,0,49.72,G,1104 O St.,0,Coronado,California,92118,696-555-0187,19-09-1996,Clerical,1,0,0,Low,0,0,Medium,06-03-2017,0,0,0,0,0,1,0,0,0,1,0
23,15726,1,48.76,F,6176 Crow Street,0,Hervey Bay,Queensland,4655,1 (11) 500 555-0195,27-02-1993,Skilled Manual,0,0,0,,0,0,Low,06-03-2017,1,0,0,0,0,0,1,0,0,0,0
24,15473,1,52.03,A,4838 Second Street,0,Coronado,California,92118,135-555-0132,15-04-1989,Professional,0,1,1,Medium,0,0,High,06-03-2017,0,0,0,0,0,1,1,0,0,0,0
25,28685,1,49.89,J,"24, boulevard Tremblay",0,Drancy,Seine Saint Denis,93700,1 (11) 500 555-0189,16-03-1990,Clerical,1,0,1,Medium,0,1,Medium,06-03-2017,0,0,1,0,0,0,0,0,1,0,0
26,12302,1,51.15,A,Reiherweg 5,0,Frankfurt,Hessen,60323,1 (11) 500 555-0167,02-03-1966,Management,1,0,1,Medium,0,2,High,06-03-2017,0,0,0,1,0,0,1,0,0,0,0
27,23523,1,53.53,V,8358 Azalea Avenue,0,Findon,South Australia,5023,1 (11) 500 555-0135,19-08-1983,Clerical,1,1,0,Low,0,0,Medium,06-03-2017,1,0,0,0,0,0,1,0,0,0,0
28,18713,0,50.59,A,5673 Arlington Circle,0,Newcastle,New South Wales,2300,1 (11) 500 555-0178,15-11-1986,Clerical,0,0,1,Medium,0,1,Medium,06-03-2017,1,0,0,0,0,0,0,1,0,0,0
29,24082,1,49.29,A,"56, avenue de l´Europe",0,Morangis,Essonne,91420,1 (11) 500 555-0119,13-12-1984,Skilled Manual,0,0,1,Low,2,2,Low,06-03-2017,0,0,1,0,0,0,0,0,1,0,0
30,27886,0,49,P,"80, avenue de Malakoff",0,Pantin,Seine Saint Denis,93500,1 (11) 500 555-0116,24-09-1980,Manual,0,1,0,,0,0,Low,06-03-2017,0,0,1,0,0,0,0,0,1,0,0
31,21711,1,54.71,J,44 Garcia,0,West Covina,California,91791,643-555-0126,11-11-1978,Clerical,0,1,1,Medium,0,0,Medium,06-03-2017,0,0,0,0,0,1,0,0,0,1,0
32,22366,1,55.64,C,1695 Valley High Dr,0,Sooke,British Columbia,V0,154-555-0134,16-07-1978,Skilled Manual,1,0,1,Medium,1,2,Low,06-03-2017,0,1,0,0,0,0,0,1,0,0,0
33,15010,0,50.55,J,9342 Temple Drive,0,Berkeley,California,94704,109-555-0114,12-09-1997,Clerical,1,0,0,,0,0,Medium,06-03-2017,0,0,0,0,0,1,0,0,0,1,0
34,22296,0,50.16,M,4137 Garcia Ranch Road,0,Lemon Grove,California,91945,913-555-0137,23-03-1988,Clerical,1,0,1,Medium,0,1,Medium,06-03-2017,0,0,0,0,0,1,1,0,0,0,0
35,23237,0,51.02,C,Helsenbergbogen 2,0,Kassel,Hessen,34117,1 (11) 500 555-0192,27-12-1990,Clerical,1,1,0,Low,0,0,Medium,06-03-2017,0,0,0,1,0,0,0,0,0,1,0
36,13832,1,52.17,R,"51, rue Henri Gagnon",0,Courbevoie,Hauts de Seine,92400,1 (11) 500 555-0125,27-04-1996,Skilled Manual,0,1,0,,0,0,Low,06-03-2017,0,0,1,0,0,0,0,0,1,0,0
37,26026,1,52.31,E,9099 Warmcastle Ct.,0,Townsville,Queensland,4810,1 (11) 500 555-0153,14-05-1987,Clerical,0,1,0,Medium,0,0,Medium,06-03-2017,1,0,0,0,0,0,1,0,0,0,0
38,17813,1,53.13,K,2080 Mountain View Dr.,0,Woolston,England,WA1 4SY,1 (11) 500 555-0187,03-07-1983,Manual,1,0,0,,0,1,Low,06-03-2017,0,0,0,0,1,0,0,0,0,1,0
39,26369,0,48.89,J,"1101, rue Lauriston",0,Sèvres,Hauts de Seine,92310,1 (11) 500 555-0171,24-09-1985,Skilled Manual,0,0,1,Low,0,2,Low,06-03-2017,0,0,1,0,0,0,0,0,1,0,0
40,18824,0,52.46,L,2535 Park Lane,0,La Jolla,California,92806,620-555-0143,24-08-1982,Manual,1,0,1,,0,1,Low,06-03-2017,0,0,0,0,0,1,0,0,1,0,0
41,21064,0,50.21,C,"8188, place du Tertre",0,Saint Ouen,Somme,80610,1 (11) 500 555-0116,20-11-1986,Clerical,0,1,0,Medium,0,0,Medium,06-03-2017,0,0,1,0,0,0,0,0,1,0,0
42,28532,1,53.97,R,"4757, rue Saint-Lazare",0,Paris,Seine (Paris),75008,1 (11) 500 555-0112,06-12-1988,Management,1,0,1,Medium,2,2,High,06-03-2017,0,0,1,0,0,0,1,0,0,0,0
43,16183,0,50.85,A,9435 Vine Hill Way,0,St. Leonards,New South Wales,2065,1 (11) 500 555-0136,04-11-1984,Skilled Manual,0,1,0,Medium,0,0,Low,06-03-2017,1,0,0,0,0,0,1,0,0,0,0
44,25700,0,47.53,B,"2181, rue Malar",0,Saint-Denis,Seine Saint Denis,93400,1 (11) 500 555-0165,18-08-1974,Manual,0,1,0,Low,0,0,Low,06-03-2017,0,0,1,0,0,0,0,0,0,1,0
45,21746,1,50.48,A,144 Santa Monica,0,Lakewood,California,90712,404-555-0118,16-03-1982,Manual,1,0,1,,1,1,Low,06-03-2017,0,0,0,0,0,1,0,0,1,0,0
46,26560,0,50.57,A,589 Woodcrest Drive,0,Newcastle,New South Wales,2300,1 (11) 500 555-0163,04-06-1971,Manual,0,0,1,Low,1,2,Low,06-03-2017,1,0,0,0,0,0,0,0,0,0,1
47,16988,1,48.1,R,9013 Ramsay Circle,0,Oakland,California,94611,621-555-0190,19-04-1985,Manual,1,1,0,,0,0,Low,06-03-2017,0,0,0,0,0,1,1,0,0,0,0
48,18562,1,51.99,P,5745 St. Paul Way,0,Novato,California,94947,160-555-0188,16-06-1989,Skilled Manual,0,0,0,Low,1,1,Low,06-03-2017,0,0,0,0,0,1,0,1,0,0,0
49,14996,1,51.43,R,Unter Linden 934,0,Berlin,Hamburg,10210,1 (11) 500 555-0114,14-10-1995,Management,1,1,0,,0,0,High,06-03-2017,0,0,0,1,0,0,0,0,0,1,0
50,26741,1,55.52,J,2765 Robbins Place,0,Lane Cove,New South Wales,1597,1 (11) 500 555-0197,18-08-1987,Professional,0,0,1,Medium,1,1,High,06-03-2017,1,0,0,0,0,0,1,0,0,0,0
51,19490,1,50.76,D,"11, rue de Cambrai",0,Paris,Seine (Paris),75019,1 (11) 500 555-0167,16-11-1984,Skilled Manual,0,1,0,Medium,0,0,Low,06-03-2017,0,0,1,0,0,0,0,0,0,1,0
52,12720,1,47.68,J,"44, rue du Départ",0,Suresnes,Hauts de Seine,92150,1 (11) 500 555-0115,02-11-1994,Skilled Manual,1,1,0,Low,0,0,Low,06-03-2017,0,0,1,0,0,0,0,0,0,1,0
53,14050,1,57.1,M,2396 Ancona Ct.,0,Cloverdale,South Australia,6105,1 (11) 500 555-0146,16-05-1986,Professional,1,1,1,Medium,0,0,High,06-03-2017,1,0,0,0,0,0,0,1,0,0,0
54,11926,0,46.25,A,609 Power Ave.,0,Oregon City,Oregon,97045,522-555-0169,18-03-1998,Manual,1,1,0,Low,0,0,Low,06-03-2017,0,0,0,0,0,1,0,0,0,1,0
55,28023,0,51.34,D,4645 Rossmor Parkway,0,Corvallis,Oregon,97330,514-555-0198,15-09-1966,Skilled Manual,0,1,1,Low,0,1,Low,06-03-2017,0,0,0,0,0,1,0,0,1,0,0
56,22541,0,51.29,A,Im Himmelsweg 27,0,Paderborn,Hamburg,33041,1 (11) 500 555-0120,26-12-1993,Skilled Manual,0,1,0,Low,0,0,Low,06-03-2017,0,0,0,1,0,0,0,0,0,1,0
57,24957,1,50.98,A,8290 Margaret Ct.,0,Lakewood,California,90712,869-555-0119,21-04-1965,Skilled Manual,0,0,1,Medium,1,2,Low,06-03-2017,0,0,0,0,0,1,0,0,0,0,1
58,11867,0,58.85,C,4268 Weaver Court,0,National City,California,91950,112-555-0116,24-04-1980,Manual,1,0,1,Low,1,2,Low,06-03-2017,0,0,0,0,0,1,0,0,1,0,0
59,11929,1,52.81,A,7566 Keller Ridge Dr.,0,St. Leonards,New South Wales,2065,1 (11) 500 555-0188,12-02-1966,Management,0,1,1,Medium,0,1,High,06-03-2017,1,0,0,0,0,0,0,0,0,1,0
60,27994,1,53.16,L,5680 Camelback Ct.,0,Beaverton,Oregon,97005,622-555-0178,04-07-1957,Clerical,0,0,1,Low,2,2,Medium,07-03-2017,0,0,0,0,0,1,0,0,1,0,0
61,21068,1,49.8,B,5097 Bourton Ct.,0,Bury,England,PE17,1 (11) 500 555-0119,28-01-1985,Skilled Manual,1,1,0,Medium,0,0,Low,06-03-2017,0,0,0,0,1,0,0,0,0,0,1
62,26332,1,59.05,W,3773 Lakefield Place,0,Lebanon,Oregon,97355,116-555-0185,26-09-1986,Manual,1,0,0,,1,1,Low,06-03-2017,0,0,0,0,0,1,1,0,0,0,0
